# density profiles from  M. Dziewonski and D. L. Anderson, Preliminary reference earth model, Phys. Earth Planet. Interiors 25 (1981) 297–356.
r_vec	rho_tot	16O	28Si	27Al	56Fe	40Ca	23Na	39K	24Mg	48Ti	58Ni	59Co	31P	32S  v_esc
0.0	7.86235e+24	0.0	0.0	0.0	6.643685750000001e+24	0.0	0.0	0.0	0.0	0.0	4.402916e+23	2.358705e+22	4.71741e+22	7.076115000000001e+23  15.66845700603744
35.175879396984925	7.86235e+24	0.0	0.0	0.0	6.643685750000001e+24	0.0	0.0	0.0	0.0	0.0	4.402916e+23	2.358705e+22	4.71741e+22	7.076115000000001e+23  15.668815847795054
70.35175879396985	7.86235e+24	0.0	0.0	0.0	6.643685750000001e+24	0.0	0.0	0.0	0.0	0.0	4.402916e+23	2.358705e+22	4.71741e+22	7.076115000000001e+23  15.667970398296536
105.52763819095478	7.86235e+24	0.0	0.0	0.0	6.643685750000001e+24	0.0	0.0	0.0	0.0	0.0	4.402916e+23	2.358705e+22	4.71741e+22	7.076115000000001e+23  15.667093359151416
140.7035175879397	7.861784036753069e+24	0.0	0.0	0.0	6.643207511056343e+24	0.0	0.0	0.0	0.0	0.0	4.4025990605817185e+23	2.358535211025921e+22	4.717070422051842e+22	7.075605633077762e+23  15.666315206773591
175.87939698492463	7.858428251519892e+24	0.0	0.0	0.0	6.640371872534308e+24	0.0	0.0	0.0	0.0	0.0	4.4007198208511395e+23	2.3575284754559678e+22	4.7150569509119356e+22	7.072585426367902e+23  15.66485322014993
211.05527638190955	7.855072466286714e+24	0.0	0.0	0.0	6.637536234012273e+24	0.0	0.0	0.0	0.0	0.0	4.39884058112056e+23	2.3565217398860143e+22	4.713043479772029e+22	7.069565219658042e+23  15.662620744539996
246.23115577889448	7.851716681053536e+24	0.0	0.0	0.0	6.634700595490238e+24	0.0	0.0	0.0	0.0	0.0	4.39696134138998e+23	2.355515004316061e+22	4.711030008632122e+22	7.066545012948182e+23  15.661179134497747
281.4070351758794	7.848360895820358e+24	0.0	0.0	0.0	6.631864956968203e+24	0.0	0.0	0.0	0.0	0.0	4.3950821016594006e+23	2.3545082687461075e+22	4.709016537492215e+22	7.063524806238321e+23  15.658588196473984
316.5829145728643	7.845057830290759e+24	0.0	0.0	0.0	6.629073866595691e+24	0.0	0.0	0.0	0.0	0.0	4.3932323849628246e+23	2.3535173490872278e+22	4.7070346981744556e+22	7.060552047261682e+23  15.655841735998361
351.75879396984925	7.841856571774996e+24	0.0	0.0	0.0	6.626368803149871e+24	0.0	0.0	0.0	0.0	0.0	4.3914396801939977e+23	2.352556971532499e+22	4.705113943064998e+22	7.057670914597496e+23  15.652485909342914
386.9346733668342	7.838655313259233e+24	0.0	0.0	0.0	6.623663739704052e+24	0.0	0.0	0.0	0.0	0.0	4.389646975425171e+23	2.35159659397777e+22	4.70319318795554e+22	7.05478978193331e+23  15.649425354714172
422.1105527638191	7.83545405474347e+24	0.0	0.0	0.0	6.620958676258232e+24	0.0	0.0	0.0	0.0	0.0	4.387854270656343e+23	2.350636216423041e+22	4.701272432846082e+22	7.051908649269123e+23  15.6460853989143
