# density profiles from Jovian model J11-4a of APJ Supplement Series 202 (aug, 2012) 5 (75%$ hydrogen and 25% helium).
r_vec	       rho_tot	          1H            4He   v_esc
1.39058e-2     2.48957e+1      18.671775       6.223925  89.12576663292602
4.05154e-2     2.41524e+1      18.114300       6.038100  88.84676800800405
6.71249e-2     2.27593e+1      17.069475       5.689825  88.30577222966434
9.37345e-2     2.07056e+1      15.529200       5.176400  87.52756306613787
1.10668e-1     1.77006e+1      13.275450       4.425150  86.92668360485484
1.13087e-1     1.31410e+1       9.855750       3.285250  86.83605204101696
1.15506e-1     9.49924e+0       7.124430       2.374810  86.74524871857808
1.17925e-1     6.68596e+0       5.014470       1.671490  86.65552416483717
1.30020e-1     4.27603e+0       3.207023       1.069008  86.23139050880718
1.56630e-1     3.98566e+0       2.989245       0.996415  85.42812857778564
1.83239e-1     3.86667e+0       2.900003       0.966668  84.73399136924318
2.09849e-1     3.80620e+0       2.854650       0.951550  84.09326547807218
2.36459e-1     3.68362e+0       2.762715       0.920905  83.4741183655027
2.63068e-1     3.55635e+0       2.667263       0.889088  82.85888775688342
2.89678e-1     3.42932e+0       2.571990       0.857330  82.23708540135704
3.16287e-1     3.34311e+0       2.507332       0.835777  81.60252235201723
3.42897e-1     3.20810e+0       2.406075       0.802025  80.9495721760294
3.69506e-1     3.08976e+0       2.317320       0.772440  80.27817008673163
3.96116e-1     2.92215e+0       2.191612       0.730537  79.5848540824299
4.22726e-1     2.83835e+0       2.128763       0.709588  78.87077163526172
4.49335e-1     2.77035e+0       2.077762       0.692588  78.13484137212697
4.75945e-1     2.63920e+0       1.979400       0.659800  77.37577154360893
5.02554e-1     2.49301e+0       1.869757       0.623252  76.5944063093879
5.29164e-1     2.38365e+0       1.787737       0.595912  75.79201286301547
5.55773e-1     2.27080e+0       1.703100       0.567700  74.96999511301286
5.82383e-1     2.14242e+0       1.606815       0.535605  74.12872895310551
6.08993e-1     2.02130e+0       1.515975       0.505325  73.26982256029865
6.35602e-1     1.90010e+0       1.425075       0.475025  72.39479606692423
6.62212e-1     1.76250e+0       1.321875       0.440625  71.50549404641676
6.88821e-1     1.63685e+0       1.227637       0.409212  70.60394220051212
7.15431e-1     1.53126e+0       1.148445       0.382815  69.6919908158799
7.42040e-1     1.29692e+0       0.972690       0.324230  68.7722268073973
7.68650e-1     1.17703e+0       0.882772       0.294258  67.84955864673726
7.95260e-1     1.05535e+0       0.791513       0.263838  66.92691526013296
8.21869e-1     9.35984e-1       0.701988       0.233996  66.00662126701012
8.48479e-1     8.18127e-1       0.613595       0.204532  65.09108146694982
8.75088e-1     6.91242e-1       0.518432       0.172811  64.18299287509076
9.00488e-1     5.49682e-1       0.412262       0.137421  63.32574122845974
9.21050e-1     4.16996e-1       0.312747       0.104249  62.64149103359678
9.36774e-1     3.11851e-1       0.233888       0.077963  62.1256571258257
9.50079e-1     2.35047e-1       0.176285       0.058762  61.69516121171914
9.60965e-1     1.75162e-1       0.131372       0.043791  61.34754707905626
9.69431e-1     1.28461e-1       0.096346       0.032115  61.07984394681295
9.75237e-1     8.91393e-2       0.066854       0.022285  60.89856499087076
9.79108e-1     6.53592e-2       0.049019       0.016340  60.7781840052657
9.82736e-1     4.43459e-2       0.033259       0.011086  60.66602243205376
9.86365e-1     3.12263e-2       0.023420       0.007807  60.55460036419996
9.88784e-1     2.18677e-2       0.016401       0.005467  60.48026216644536
9.90396e-1     1.48065e-2       0.011105       0.003702  60.43102474663332
9.90598e-1     1.03983e-2       0.007799       0.002600  60.424545421106544
9.93138e-1     6.38101e-3       0.004786       0.001595  60.34756598705843
9.94831e-1     4.51811e-3       0.003389       0.001130  60.29619298772914
9.96041e-1     1.84878e-3       0.001387       0.00046  60.25932538361502
