# Density profiles from [arXiv.0909.2668]
r_vec            rho_tot           1H  v_esc
5.30515e-3     1.34944e+2         1.34944e+2  1254.8001688571935
3.20090e-2     1.19912e+2         1.19912e+2  1255.3491502005186
5.87652e-2     1.00545e+2         1.00545e+2  1252.7491700663873
8.55519e-2     8.14851e+1         8.14851e+1  1245.1190204225757
1.12353e-1     6.49893e+1         6.49893e+1  1231.1432594754372
1.39160e-1     5.15225e+1         5.15225e+1  1211.9773511449168
1.65974e-1     4.05205e+1         4.05205e+1  1188.4729613566171
1.92805e-1     3.12363e+1         3.12363e+1  1162.1713408002474
2.19648e-1     2.37919e+1         2.37919e+1  1133.7896130838485
2.46496e-1     1.80131e+1         1.80131e+1  1104.5089857264134
2.73355e-1     1.34751e+1         1.34751e+1  1074.8364441674212
3.00212e-1     1.01006e+1         1.01006e+1  1045.5107563939537
3.27080e-1     7.48074e+0         7.48074e+0  1016.7945792690437
3.53946e-1     5.55151e+0         5.55151e+0  989.0743811376026
3.80812e-1     4.11982e+0         4.11982e+0  962.4558691183948
4.07672e-1     3.07577e+0         3.07577e+0  937.1000627598635
4.34531e-1     2.30090e+0         2.30090e+0  913.0024229006841
4.61381e-1     1.73856e+0         1.73856e+0  890.190848766553
4.88229e-1     1.31628e+0         1.31628e+0  868.6077659166532
5.15065e-1     1.01064e+0         1.01064e+0  848.2195341676409
5.41904e-1     7.72863e-1         7.72863e-1  828.9458430282904
5.68728e-1     6.00571e-1         6.00571e-1  810.7351424223841
5.95560e-1     4.62966e-1         4.62966e-1  793.5034012960052
6.22374e-1     3.64105e-1         3.64105e-1  777.2002418246575
6.49191e-1     2.85211e-1         2.85211e-1  761.7510247881427
6.76005e-1     2.24308e-1         2.24308e-1  747.0966730856658
7.02797e-1     1.80699e-1         1.80699e-1  733.1935307532408
7.29582e-1     1.46738e-1         1.46738e-1  719.977175078693
7.56372e-1     1.18446e-1         1.18446e-1  707.3967533710202
7.83184e-1     9.33404e-2         9.33404e-2  695.3946986178955
8.10009e-1     7.25323e-2         7.25323e-2  683.9406985027049
8.36871e-1     5.40427e-2         5.40427e-2  672.9831010400206
8.63770e-1     3.86862e-2         3.86862e-2  662.4975419203215
8.90742e-1     2.55112e-2         2.55112e-2  652.4349309704858
9.15350e-1     1.58567e-2         1.58567e-2  643.6315157439759
9.35145e-1     9.59932e-3         9.59932e-3  636.7917669305642
9.50121e-1     5.70537e-3         5.70537e-3  631.7585381456156
9.60225e-1     3.53032e-3         3.53032e-3  628.4256549688195
9.67915e-1     2.17486e-3         2.17486e-3  625.9265273209636
9.74254e-1     1.20015e-3         1.20015e-3  623.8854549902898
9.78597e-1     7.08540e-4         7.08540e-4  622.5015244106914
9.83539e-1     3.67722e-4         3.67722e-4  620.9338654746483
9.87180e-1     1.61814e-4         1.61814e-4  619.7911145744308
9.87120e-1     8.83158e-5         8.83158e-5  619.8092421493892
9.90775e-1     4.37506e-5         4.37506e-5  618.6644359500099
9.92471e-1     2.54529e-5         2.54529e-5  618.1361997310061
9.92544e-1     1.50048e-5         1.50048e-5  618.1128363159833
9.94572e-1     9.44952e-6         9.44952e-6  617.4823945410445
