# Solar density profiles from model AGSS09ph [arXiv.0909.2668]
r_vec     rho_tot     1H     4He     3He     12C     13C     14N     15N     16O     17O     18O     20Ne     23Na     24Mg     27Al     28Si     P     32S     Cl     40Ar     K     40Ca     Sc     Ti     V     Cr     Mn     56Fe     Co     58Ni     v_esc     
0.0015  150.5  74.63614626654312  130.65634553820425  0.0017188252806313116  0.001636861194505932  0.00037184318094558806  0.8410917473375288  0.0006597608134196186  1.3224012204963915  0.09025230786901557  0.004003887180686836  0.31107958145548975  0.00706209911106761  0.1710186499659849  0.013442277057527936  0.1606479394760883  0.0014072449002789258  0.07469415547210029  0.0019817864347433374  0.01611696049936887  0.0007406398352683896  0.015499308526529962  1.122457260910498e-05  0.0007542031387260008  7.66514444941371e-05  0.0040101471668980435  0.0026141702417992853  0.3121229124906906  0.0010177485582177394  0.017218300740126907  1339.5764710930496  
0.002  150.5  67.19046650038389  117.57028777936976  0.0015483371644967273  0.0014731234301690963  0.00033505793697199363  0.7572314070556714  0.0005940335665295522  1.1905085276814744  0.0810824714006352  0.003605986807137108  0.2798213836408719  0.006355372751098426  0.15394636340423432  0.012098518850740984  0.14461272396332742  0.0012665673601476176  0.06727450681526932  0.0017840021704003102  0.014508222292916779  0.0006665242068553083  0.013952335517361757  1.0104087243851014e-05  0.0006787311799671584  6.898113555609915e-05  0.0036116207947271915  0.002351250820928669  0.28115945569351697  0.0009163211316306874  0.015497926112908324  1339.6029805466728  
0.0025  150.5  64.52553403039796  112.84681831369802  0.001488003730392442  0.0014139956694090895  0.00032145279593987083  0.7271750222605013  0.000570069400315127  1.1433539295483293  0.07774602394978704  0.0034597190993191935  0.2686285282952369  0.006103486555925059  0.14781480081015208  0.011614878576049485  0.13881093744285136  0.0012163704087158266  0.06454296183200996  0.0017122664844116259  0.013926165645005822  0.0006400961100681527  0.013392514340473003  9.700224233435109e-06  0.000651814804255529  6.624517728256089e-05  0.003469484677808674  0.0022572007880915213  0.26971025391253317  0.0008796983342992733  0.014880638262600693  1339.5745707666777  
0.003  150.4  63.50307378922524  110.99518951225801  0.0014657444714226383  0.0013906037702674727  0.000316244070079734  0.7151408247680807  0.000561312096938065  1.1248047557397  0.07629879860423923  0.00340365883613578  0.2647556834925713  0.006002074779303533  0.14541739302422604  0.011428961158900823  0.13658455248021556  0.001196158165237087  0.06354512002994384  0.0016847500890216519  0.013702796817017589  0.0006294729134677376  0.013177792640104517  9.540531985187264e-06  0.0006410017214067069  6.514663316897717e-05  0.003410753487175146  0.0022254250980834433  0.26533994887228385  0.0008656726265268613  0.01463449143145196  1339.5843515113934  
0.00525  150.25  60.90084494196752  105.90620122032831  0.0014162572661062902  0.0013274703964233994  0.0003017279427270817  0.6837446692817823  0.0005362763921841927  1.0763367890682543  0.07171985453495675  0.0032551924500586003  0.2527905942444279  0.005738329536576915  0.1389820036085103  0.010922600685310965  0.13053935375255282  0.0011435437014498827  0.06071583972448416  0.001610320438026099  0.01309653960853992  0.0006017514257089252  0.012594458060284423  9.121003032075211e-06  0.0006127720993152374  6.227754799732746e-05  0.0032604417010570546  0.0021243797396285425  0.2536556381007178  0.0008272343888847638  0.0139914769669394  1339.5132361576723  
0.01325  148.6  56.574393470015075  95.25220280127195  0.001379546564346338  0.0011960111567691975  0.00027188763810846365  0.6223797558778326  0.00048798562200277505  0.9856582365842508  0.058421525870738844  0.0029613747555445767  0.22997906579777527  0.005222249178999715  0.12646741458484329  0.009939871509568345  0.11879630667317434  0.0010406184343248704  0.055247252621929935  0.001465440201838753  0.01191834227235131  0.0005475603336480357  0.011459940263457497  8.300968774775256e-06  0.0005575912496242467  5.667027235055991e-05  0.002966266095335183  0.0019321796135725996  0.23086538923710326  0.0007527558246980808  0.01273115555131198  1339.506087307861  
0.021249999999999998  145.6  56.562298882077904  90.12962342532337  0.001492511486500481  0.001134845985674977  0.00025802033746804697  0.601322616577177  0.00047127315690709086  0.961214501301532  0.04619772068847809  0.0028612400228405725  0.22215985586411946  0.005043328518276585  0.12214795872702938  0.009599368064524676  0.11473222736160316  0.0010049990752127897  0.053359045435092  0.0014152085452365482  0.011510634060354038  0.0005288327099685529  0.011068347675317112  8.015510625130837e-06  0.0005385242473049071  5.473211811948286e-05  0.0028657130400727366  0.0018667391915562254  0.22285133688504719  0.0007270822951602405  0.01229659830034827  1339.1300717979911  
0.028999999999999995  141.7  57.2022180786331  84.71994121486166  0.0016719775246950605  0.0010704906443635377  0.00024347692001526147  0.5817617664042637  0.00045572175127310777  0.9397345698751723  0.03336390748624736  0.0027651621865156266  0.2146925770532356  0.004877254453221464  0.1181081990152426  0.009283074593004372  0.11093498070735947  0.0009718909508851385  0.051601840844072065  0.0013683735144837824  0.011129692705408947  0.0005114156004833299  0.010704007315490188  7.751201454822045e-06  0.0005207918749232695  5.29302647107215e-05  0.0027699553541025556  0.0018060147075084007  0.21565431211861505  0.0007029550541707634  0.01188989330459117  1338.1773499463281  
0.0365  137.0  58.069887496212424  78.66699479286336  0.0019191053089907528  0.0009982753141811575  0.0002269538573240494  0.5602196837657671  0.0004385411147387579  0.9141731090477088  0.02135085690462679  0.0026594610140918793  0.20665926682197203  0.004693936137701033  0.11370053934917462  0.008933937835185847  0.10679085355183024  0.0009353774146783765  0.04966522763060381  0.0013175477211964238  0.010714023764169791  0.0004922179532652403  0.010302461385361427  7.461095547194002e-06  0.000501251369515574  5.094509319581842e-05  0.002666839010442461  0.0017366389694457854  0.20745446102823775  0.0006766022640373691  0.011443604020718619  1336.522099089005  
0.044  131.6  58.98064774213467  72.16520306993053  0.002239290992578019  0.0009193215105258635  0.00020904784646898013  0.537122944332282  0.0004199251325622905  0.8837753380037622  0.011581352394175065  0.002550561222403319  0.19801797311826033  0.004498560318865119  0.10891575695948376  0.008561743857221884  0.10232048009642257  0.0008964235371826964  0.047598204381966776  0.0012619574457520646  0.010265497647722265  0.00047173543412730814  0.009870878000219853  7.15061377040087e-06  0.00048039336469793946  4.882515932005045e-05  0.0025559557744977653  0.0016642056733099486  0.19881149028893794  0.0006484133874146897  0.010966949386285833  1334.1513077904378  
