# Density profiles from [arXiv.2104.14367]
r_vec	          rho_tot       	12C  v_esc
1.279971e-07	1.000000e+00	1.000000e+00  5865.668092266068
1.517578e-03	1.018036e+00	1.018036e+00  5865.648835715282
3.035029e-03	1.018036e+00	1.018036e+00  5865.620826353475
4.552479e-03	1.018036e+00	1.018036e+00  5865.522774716519
6.069930e-03	1.018036e+00	1.018036e+00  5865.5018850867245
7.587380e-03	1.018036e+00	1.018036e+00  5865.411933194751
9.104831e-03	1.018036e+00	1.018036e+00  5865.298022109597
1.062228e-02	1.018036e+00	1.018036e+00  5865.17026316715
1.213973e-02	1.018036e+00	1.018036e+00  5865.017196657911
1.365718e-02	1.018036e+00	1.018036e+00  5864.843943182639
1.517463e-02	1.018036e+00	1.018036e+00  5864.653155230965
1.669208e-02	1.018036e+00	1.018036e+00  5864.439812961053
1.820953e-02	1.018036e+00	1.018036e+00  5864.207273983485
1.972698e-02	1.018035e+00	1.018035e+00  5863.956537963985
2.124443e-02	1.018034e+00	1.018034e+00  5863.682735684378
2.276189e-02	1.018035e+00	1.018035e+00  5863.381508155555
2.427934e-02	1.018037e+00	1.018037e+00  5863.07808404107
2.579679e-02	1.018041e+00	1.018041e+00  5862.746439405177
2.731424e-02	1.018045e+00	1.018045e+00  5862.394137464776
2.883169e-02	1.018047e+00	1.018047e+00  5862.019597535025
3.034914e-02	1.018045e+00	1.018045e+00  5861.624734991411
3.186659e-02	1.018037e+00	1.018037e+00  5861.210652242708
3.338404e-02	1.018022e+00	1.018022e+00  5860.779003244236
3.490149e-02	1.018002e+00	1.018002e+00  5860.324143093298
3.641894e-02	1.017984e+00	1.017984e+00  5859.84893441064
3.793639e-02	1.017972e+00	1.017972e+00  5859.355862401299
3.945384e-02	1.017971e+00	1.017971e+00  5858.844272431936
4.097129e-02	1.017986e+00	1.017986e+00  5858.307350607038
4.248874e-02	1.018020e+00	1.018020e+00  5857.753067011381
4.400619e-02	1.018079e+00	1.018079e+00  5857.174191821007
4.552364e-02	1.018157e+00	1.018157e+00  5856.581722914251
4.704109e-02	1.018242e+00	1.018242e+00  5855.950807479812
4.855854e-02	1.018322e+00	1.018322e+00  5855.324068014903
5.007599e-02	1.018386e+00	1.018386e+00  5854.668173071145
5.159344e-02	1.018422e+00	1.018422e+00  5853.992453444619
5.311090e-02	1.018418e+00	1.018418e+00  5853.296072068939
5.462835e-02	1.018363e+00	1.018363e+00  5852.580219992111
5.614580e-02	1.018244e+00	1.018244e+00  5851.844970102154
5.766325e-02	1.018051e+00	1.018051e+00  5851.083415405064
5.918070e-02	1.017774e+00	1.017774e+00  5850.29986781596
6.069815e-02	1.017411e+00	1.017411e+00  5849.504435554015
6.221560e-02	1.016963e+00	1.016963e+00  5848.685288360569
6.373305e-02	1.016433e+00	1.016433e+00  5847.845441519689
6.525050e-02	1.015821e+00	1.015821e+00  5846.984620482473
6.676795e-02	1.015130e+00	1.015130e+00  5846.107343542385
6.828540e-02	1.014361e+00	1.014361e+00  5845.206506411988
6.980285e-02	1.013515e+00	1.013515e+00  5844.289142380138
7.132030e-02	1.012594e+00	1.012594e+00  5843.345839851399
7.283775e-02	1.011599e+00	1.011599e+00  5842.386147511407
7.435520e-02	1.010533e+00	1.010533e+00  5841.403819253582
7.587265e-02	1.009395e+00	1.009395e+00  5840.404512045404
7.739010e-02	1.008189e+00	1.008189e+00  5839.385957173929
7.890755e-02	1.006915e+00	1.006915e+00  5838.344320256861
8.042500e-02	1.005579e+00	1.005579e+00  5837.276057039648
8.194245e-02	1.004184e+00	1.004184e+00  5836.200973245059
8.345990e-02	1.002738e+00	1.002738e+00  5835.100726732177
8.497736e-02	1.001245e+00	1.001245e+00  5833.979616425272
8.649481e-02	9.997104e-01	9.997104e-01  5832.840106333263
8.801226e-02	9.981396e-01	9.981396e-01  5831.686481357311
8.952971e-02	9.965379e-01	9.965379e-01  5830.499133710602
9.104716e-02	9.949107e-01	9.949107e-01  5829.305506731344
9.256461e-02	9.932634e-01	9.932634e-01  5828.086171341329
