# mass_GeV sigma_SI_cm2
2.5000000000e-01 2.7232340108e-32
2.9000000000e-01 5.2581292338e-33
3.3000000000e-01 1.4285255916e-33
3.7000000000e-01 5.5899322255e-34
4.3000000000e-01 1.9792850314e-34
4.9000000000e-01 9.4143474145e-35
5.6000000000e-01 4.9389647642e-35
6.4000000000e-01 2.7749148057e-35
7.3000000000e-01 1.6340309707e-35
8.4000000000e-01 9.5557663441e-36
9.6000000000e-01 5.8501257166e-36
1.1000000000e+00 3.6089984268e-36
1.3000000000e+00 2.0455045129e-36
1.4000000000e+00 1.6028089458e-36
1.6000000000e+00 1.0380953466e-36
1.9000000000e+00 5.8686365804e-37
2.1000000000e+00 4.1604144221e-37
2.4000000000e+00 2.6342531426e-37
2.8000000000e+00 1.5957414730e-37
